CommentID,CreateTime,Content,UserName,EventID
1,2018-02-20 01:58:15,"I am a Pizza snob.  I am qualified to judge pizza as I am a Philadelphian who grew up enjoying great thin crust pizza.  I also lived in Italy when I was in the Navy and was blessed to enjoy the heavenly wood fired stone oven pies that was as good as it gets.\n\nThroughout my travels, Grimaldi's is the closest thing to the great pizzas of Italy.  Cooked over charcoal briquets, the pizzas come out perfectly -- thin crusts that are tender and soft yet rigid enough where it won't collapse.  The crust is bursting with flavor.  Cheese and toppings were equal to the outstanding crust. \n\nI had my Grimaldi's plain and I had it once with anchovies.  I loved both. But as I learned in Italy: The best pizzas, the ones the old \paisons\"" liked were the simple cheese pizzas with no toppings [The old men of Italy would probably laugh at some American dude eating a sloppy 12-topping \""Supreme Pizza.\"" That's not pizza, that's garbage on dough!!!]. I'd say the plain cheese pizza is the best pizza to get at Grimaldi's.\n\nSalads, beverages and service are all top notch.  Servers are friendly and attractive.\n\nYou can't go wrong with the many great restaurants in Old Town Scottsdale.  But Grimaldi's is probably my favorite.""",J2ec91eK,1689
2,2018-05-23 12:01:34,"When I have the craving for pizza, which isn't that often, Z Pizza is the best spot in Central Phoenix.  Our guilty pleasure is ordering on Tuesday nights when it's buy one, get the second for $5 (or is it half-price?  some kind of great deal)....and eating pizza while we watch Biggest Loser.  I'm always a fan of pepperoni, and their crust is crispy thin...the best way.  Also like the Casablanca...artichoke hearts, mushrooms, ricotta, parmesan, mozzarella...so tasty.  Great to have Gluten-free crust as an option, and the ingredients are fresh.  Yes, it's a small west coast chain...but they do it \right\"".   Friendly staff, speedy service, easy location.""",EJHcXVBa,1590
3,2018-05-06 01:09:37,This was our second stop for the night at one of my friends going away party.  There was a $2 cover since there was a band playing that night.  I'm sure the band was good...I can't really remember.  But what I did remember is the drinks being a little on the weak side.  Now,d3503q2Q,4376
4,2018-01-30 02:06:35,Good:\nWaffle,rbR3V9Z9,3409
5,2018-05-16 00:34:54,"Made an 8:15 reservation on Yelp for a late Vday dinner with the Mrs. last Friday. Wanted to check out Cowboy Cio, but then saw the reviews about CPH and decided to give it a try. \n\nGot there at 8pm and was greeted with a smile. Our table was still at 8:15, but the hostess said we could hang at the bar or the stinky patio. Had quick service for a glass of Pinot and Tanqueray and tonic ($20 without tip). OK pour. \n\nShort wait and we were whisked away to a table for 2. Was greeted by Clark who quickly got us more drinks and asked if we had any questions. Good guy, very helpful and honest about his choices. We switched gears to a Lagunitas IPA ($5) and sangria ($8), which was served nicely. \n\nRead about the Pork bellly Pastrami app and the Citizen Chop Salad, so we ordered both. Clark hooked it up so we could have each in courses per say. Pork belly was awesome! C'mon - rye spaetzle, Brussels sprout sauerkraut = goodness. Citizen Chopped - chayote, snow pea greens, grape tomato, heirloom popcorn, grilled halloumi cheese, cucumber-onion salad & parsley-garlic dressing! Very unique tastes and refreshing. Would like to have that salad in the summer for sure!\n\nMain courses - The Mrs. had the Short Ribs ($28) and I ordered the Meatloaf... yeah, I know... I was hoping for something epic in meatloaf, but it was good. Nuthin special. The Short ribs on the other hand were EPIC! It is served with this dried cherry bbq sauce that you would not hesitate to lick the small bowl dry! The short rib had a dark right out the BBQ pit look. It was AWESOME! Comes with roasted parsnip puree & seasonal veg. \n\nDessert - \DONUTS & COFFEE\"" ($10) - Bourbon glazed donut bread pudding, vanilla sauce, cafe au lait ice cream, brown sugar streusel... + More AWESOME! If you go, get it! \n\nOverall, A good experience. I want to give it 3.5 stars. Service was prompt, Food was good, but it was the surprises in the ingredients that made it fun. Good mix of people too. The price is a little high by a few bucks for items in my opinion. I mean a $20 meatloaf should have been effin epic - Right?!""",sSnWW7wX,2532
6,2018-01-07 16:19:05,Great sandwiches and a BEAUTIFUL atmosphere. \n\nThe Farm is a perfect place to spend an afternoon with a huge group or just one special person. If you're going,DYTVW9gb,5000
7,2018-04-06 23:26:40,This place is fantastic if you have the hobby of collecting gems and minerals. Don't bother driving to Sedona or somewhere else,vlEqigmj,965
8,2018-02-11 17:43:41,This place reminds me of the Irvine Spectrum.  I like it a lot.  Here's why:\n\n+ It's an outdoor mall.  I like walking around in the sun.  When it gets hot,4Ism8zyU,4202
9,2018-03-08 17:37:57,I rarely give five stars but I can honestly say I would like to take the fra diavolo sauce and smear it on my face like some Italian war paint. That sounds totally weird but it's that good.\n\nWe've been here twice and the meatball sliders are to die for. Soft,BHuQbgN2,2511
10,2018-03-04 22:05:10,A sweet taste of Italy,oKtue1GP,2096
11,2018-04-29 17:06:40,Super,BfJ0sFum,4478
12,2018-02-11 13:24:54,Wife and I were able to stop by,bgi7T7nH,25
13,2018-02-27 19:10:43,"Why did it feel like I was the only person that has NOT eaten at Benihana?  Probably because I was.  Anyway, I am a huge fan of teppanyaki and have been to several other places around the valley who do it quite well.  I mean how can you not love flaming onion volcanoes, shrimp acrobatics and other food awesomeness?  It's like a circ du solei of food!  Yet I didn't listen to almost everyone I know or 2/3rds of the Yelp reviews saying this place isn't all that wonderful.  Ok, ok - one point Yelp and my friends; zero points Jason.  Benihana isn't in fact all that great.\n\nBenihana is however good at making a teppanyaki place that runs like a well oiled machine or at least a ride at Disney Land.  They shuffle you in, wait until your table is full, put on a little show, charge you way too much then shuffle you out the door to make room for the next group.\n\nAside from the food being waaaaay overpriced, the service is excellent and meals tasty.  The \show\"" isn't bad either.  Except now they aren't allowed to do any of the cool stuff because people were apparently getting hurt from flying shrimp and flaming onion volcanoes.  And Benihana being a corporate chain behemoth decided they better do away with the \""dangerous\"" stuff.  Bummer!\n\nIn my option the food and service is on par with just about any other teppanyaki place around.  So, if you have a hankering for the stuff you are probably better off going to Ichi Bahn or some other place that may be cheaper, not feel like a Disney ride, and do cooler food tricks n' stuff.  But, if you must go, sign up for Benihana's birthday club thing because they will give you a $30 gift certificate which is pretty solid and the reason why I went.""",SJMk4ytu,4502
14,2018-03-15 03:55:06,I have been dining at Wally's for the past several years. \n\nWally's has great food and drink served by super friendly people in a family friendly enviroment.  The prices are also very reasonable.  \n\nWally's is the Best  casual dining experience in the Valley.  \n\nYou really can't go wrong with anything on the menu but for lunch I recommend the smoked turkey sandwich or fish and chips.  For those of you that like burgers,xIR1ehRs,3536
15,2018-05-17 08:04:53,"Coup des Tartes is clean fresh French food. The summer menu was perfect. I enjoyed the Chevre Tomata appetizer and the pasta. My husband enjoyed the soup de jour and the peppered filet. I was shocked he even enjoyed the capers. The \hash brown potatoes\"" and spinach were a perfect accompaniment. Our bill was $84 without tip including corkage. I love that the restaurant is BYOB with amazing food. I decided it must be moved into my regular rotation even if it is a bit of a drive for us. They also run Groupon specials.""",7V0pSnDY,2589
16,2018-02-23 08:05:06,In 1999,9KcPhOzS,755
17,2018-02-11 22:46:03,I've passed by this place so many times. But I'm so happy to know that it's close by!\n\nI went in today,wDlJsyMO,484
18,2018-03-31 21:50:50,Have you ever tried the chicken rotisserie here? They go fast so you have to be lucky to get one unless you call ahead. Its not so much about the rotisserie chicken as it is about the amazing and creamy and smooth and exceptionally well balanced Garlic Sauce/spread they give you that goes along with the chicken. \n\nHave I told you how amazing this spread is. If only I knew the recipe...I would eat it by the tub...okay maybe by the spoonfuls. Anyway...try the chicken rotisserie or the chicken taook. Heck if you don't want to eat either of those things...just ask for some garlic sauce on the side with whatever you are eating. You will not be disappointed.,4QSO1SjI,136
19,2018-03-30 09:00:57,I use to love going to Mimi's on weekends for breakfast.  Maybe I should have stuck with that.  Went there on my lunch break around 115pm and was suprised that it wasnt entirely busy so I figured we would be in and out...I was wrong!  The waitress was a little slower than normal,DNfXdKrQ,1272
20,2018-03-25 22:40:52,Yeah,2jmYEC1U,797
