ListID,MusicID_R,MovieID_R,WineID_R,RestaurantID_R,GiftID_R
1,53468,794,3888,5247,3495
2,65211,3083,2593,1171,9924
3,4049,4896,231,11390,3221
4,27527,3208,490,4943,3800
5,53926,207,1453,3303,8703
6,72632,3526,1679,4766,9185
7,40570,4876,4743,1042,1557
8,72842,2312,840,7471,2114
9,26013,85,3958,3967,2600
10,38569,3729,1491,1331,3267
11,3411,3818,3289,12085,1249
12,32891,2839,1639,7188,4957
13,65294,3598,744,10866,794
14,11930,3283,3219,6354,3234
15,23944,1868,1664,6859,6310
16,30010,65,2705,2649,9620
17,30567,3277,3583,10346,6571
18,27151,955,1743,9645,2859
19,28100,3963,4912,12481,4639
20,59894,1488,2867,9842,1752
21,17383,205,395,9057,3248
22,14631,4155,2524,7544,8588
23,14843,1006,119,1684,1857
24,2770,4902,2680,10887,3311
25,33074,4532,1584,4898,9127
26,1941,3151,1376,12200,2924
27,32472,1230,1464,9724,4644
28,6556,4682,170,11444,9335
29,71109,4706,4325,8829,7360
30,26229,2449,1001,3010,3081
31,26367,2909,1379,9287,2097
32,61812,3934,559,10974,4602
33,11097,4868,3844,1297,8378
34,6653,4545,854,6020,7353
35,12269,2639,4894,280,2039
36,37160,1717,3738,4920,6423
37,8076,3377,1693,1622,5110
38,37794,243,1654,10984,6797
39,20854,804,2535,1306,1590
40,13012,1390,4198,12532,114
41,66155,3837,4665,9453,4115
42,63391,620,1853,1073,7037
43,68075,3272,2155,8914,4342
44,67063,199,1845,11580,4708
45,53750,1398,3755,8239,8169
46,17260,2458,4232,4486,3813
47,4729,58,2755,9990,9607
48,58008,3258,1306,8169,2592
49,29239,2649,4827,6031,4324
50,50302,443,2635,10505,8312
51,47627,986,3565,10425,980
52,33904,633,549,5041,9738
53,29516,1443,931,11940,2790
54,4218,332,1590,7734,412
55,10498,4306,1885,7741,1996
56,38432,3495,573,7006,2027
57,55980,404,2195,5936,1622
58,20902,446,626,12248,1962
59,66946,302,4357,410,756
60,21810,3467,2060,9087,501
61,3730,3402,3884,1161,304
62,48825,2156,189,2850,7109
63,51217,2875,707,2188,8653
64,46129,2141,3518,8743,7884
65,9441,106,531,10413,4496
66,60305,4679,4964,262,5194
67,3217,1547,588,12171,9785
68,41423,652,410,2538,1181
69,28661,3242,1872,1550,6967
70,29858,3350,2285,693,8512
71,7333,4362,3068,10609,5915
72,12969,1834,2354,2360,6221
73,70331,4089,3450,3621,8053
74,18772,1784,2828,7138,1789
75,32241,4516,4220,10598,3646
76,1757,2251,615,2950,5272
77,70649,2348,456,6222,1355
78,65855,1739,1460,2856,2285
79,53108,3411,3509,10720,7037
80,42323,4859,4360,7459,1953
81,58179,4374,1661,3269,3644
82,44264,1515,2300,735,3173
83,23499,3409,962,11022,4761
84,40125,844,892,4178,4212
85,71869,1854,4246,7488,3279
86,23426,4907,1184,2150,3365
87,13935,4110,3139,3297,3409
88,5164,4101,2243,4240,7606
89,54119,255,3106,1125,8940
90,36484,3342,4292,5486,1878
91,27099,4895,656,9376,912
92,53088,1612,3322,8014,1513
93,17835,3214,4871,112,5327
94,35655,2895,3944,9372,2884
95,16385,301,1794,5708,4675
96,46452,4511,2888,6605,7020
97,14109,3057,3367,6566,2495
98,14971,2408,1606,7529,9514
99,7012,2593,4306,12645,620
