ProductID,Theme,Size,PriceRange,Description,PlannerName
1,Holiday,70,$$$$,***,wJmLRLYK
2,Business,320,$$$,***,afvVtQv8
3,Casual,80,$$$$,***,TYG5XVE7
4,Business,230,$$$$,***,LAy1h2sW
5,Casual,240,$$$,***,7jYhKoQD
6,Casual,60,$$$$,***,F1fcovn8
7,Holiday,460,$$,***,D8UIFGeX
8,Business,400,$$,***,WivWqgLF
9,Holiday,390,$$$,***,2L98GMsc
10,Business,220,$$,***,Uo1dq7Pc
11,Holiday,310,$$,***,01g7vzc7
12,Business,60,$,***,PWvNN6pJ
13,Casual,410,$$,***,gpTfmgGB
14,Business,270,$$$$,***,O0YES4Xl
15,Casual,250,$$$$,***,01g7vzc7
16,Casual,470,$,***,KHJDTqKT
17,Holiday,170,$$,***,s7e7wrY5
18,Casual,410,$$$$,***,cLRP8hSO
19,Business,160,$$$,***,s7e7wrY5
20,Casual,280,$$$$,***,aC8mC6vk
21,Holiday,400,$,***,JBZisQUk
22,Business,440,$,***,ugZP3ycC
23,Holiday,460,$$,***,I2rtjd0p
24,Business,270,$,***,wmKNs1XJ
25,Casual,370,$$$$,***,Ojj9CuYn
26,Business,340,$,***,gGGP1uaM
27,Family,120,$$,***,J9cVXLKx
28,Family,430,$$$$,***,Qq8HmDaW
29,Casual,450,$$,***,0Egss3ni
30,Holiday,40,$$$$,***,3YZ9YmyE
31,Casual,340,$$$,***,2F2uYSuP
32,Casual,210,$,***,E0QbNhJv
33,Business,230,$$$,***,ntO3tP1w
34,Business,280,$$,***,mT8l5dY6
35,Family,50,$$$$,***,1nc34sS6
36,Holiday,260,$$$$,***,kf0r8mul
37,Business,360,$$$$,***,rXYe4THM
38,Business,10,$$$,***,NpvCX9ar
39,Casual,490,$,***,AOaVEAle
40,Casual,400,$$$$,***,RNIPDDsB
41,Casual,140,$$,***,jex93KBr
42,Casual,10,$$$$,***,IiaRtuXt
43,Family,150,$,***,pDG6wZoU
44,Holiday,270,$$$,***,4CFztwcW
45,Casual,230,$$,***,Eg5yZl4G
46,Family,20,$$$,***,GqdvWX54
47,Casual,140,$$$,***,2KMLEvoI
48,Holiday,120,$$$$,***,bi2cwJ3G
49,Casual,310,$,***,tWivx0Wr
50,Casual,290,$$,***,q8nK1SA1
51,Casual,40,$$$,***,pDG6wZoU
52,Family,280,$$$,***,JBZisQUk
53,Family,490,$$$,***,t7m695Z7
54,Business,320,$$$$,***,QVvGgHPz
55,Casual,420,$$,***,Vvt4sSNe
56,Business,20,$$$,***,c88ldZ1c
57,Family,420,$$$,***,4ZnXigrm
58,Family,80,$,***,gDH1K8Q9
59,Family,50,$,***,PeV1trLv
60,Casual,250,$$,***,qOmAnNB1
61,Holiday,60,$,***,MG4KvSfu
62,Holiday,180,$$$,***,qCbFrB7D
63,Family,290,$,***,esrn8low
64,Business,50,$$,***,cfpjJgwH
65,Holiday,300,$,***,zMzvHVK6
66,Business,40,$$$,***,NpvCX9ar
67,Family,230,$$$,***,yjauLigp
68,Holiday,140,$$$$,***,54Y72OsL
69,Holiday,480,$$$$,***,QVvGgHPz
70,Family,360,$,***,vR7bJMZ4
71,Family,130,$$$$,***,gCobdQIY
72,Holiday,10,$$$$,***,L9hSnQqK
73,Holiday,240,$$$$,***,MaS61tks
74,Business,160,$,***,xgcofVUf
75,Holiday,480,$$,***,D3WAoOLr
76,Business,500,$$$,***,qe4LWgnx
77,Casual,420,$$,***,gpTfmgGB
78,Family,330,$$$,***,HChtflUA
79,Holiday,310,$$,***,ugZP3ycC
80,Family,460,$$$,***,NuWfMbWH
81,Holiday,400,$$$,***,7r6GOp6Z
82,Casual,500,$$$,***,4ZnXigrm
83,Business,420,$$$$,***,YjGLwtcn
84,Casual,90,$,***,3ckGLbFh
85,Holiday,230,$$$,***,XWTXmHgg
86,Business,180,$,***,I2rtjd0p
87,Holiday,120,$,***,RBMT1xiW
88,Business,330,$$,***,tCP7JqYp
89,Business,440,$,***,BYnmAM5W
90,Casual,470,$$$,***,v1KRVZZc
91,Business,130,$$$,***,1nc34sS6
92,Business,90,$$,***,aVHUBhPr
93,Family,360,$$,***,0yXRVgT6
94,Casual,40,$$$$,***,a4QhCE4i
95,Business,480,$$$,***,TzcFozga
96,Business,260,$,***,D3WAoOLr
97,Business,150,$$$$,***,EZdU1BcV
98,Business,60,$,***,0Egss3ni
99,Holiday,230,$$,***,KHJDTqKT
100,Holiday,450,$$,***,iIVIwWjn
101,Business,320,$$,***,28feiCyN
102,Family,460,$$$$,***,96BUIUTi
103,Casual,100,$$$,***,tmQ4pbBZ
104,Business,100,$$$$,***,ZGuclmJT
105,Business,90,$$$,***,XHMg15wk
106,Casual,500,$,***,xWTHsvs7
107,Casual,230,$$$,***,Vp5DPVse
108,Business,490,$$$,***,Eg5yZl4G
109,Casual,90,$$$,***,n9k3DPOG
110,Business,120,$$,***,vH9sxfOF
111,Casual,130,$,***,R1XDWCpq
112,Holiday,300,$$,***,XUMUEhPO
113,Casual,270,$$$,***,8EsBrbqu
114,Holiday,290,$,***,aVHUBhPr
115,Casual,250,$$,***,zkfqwTHd
116,Holiday,280,$$$$,***,OEja3qZ4
117,Casual,470,$$$$,***,D3WAoOLr
118,Family,250,$$,***,7zIHUEqS
119,Casual,50,$$$,***,rXYe4THM
120,Casual,110,$,***,9pFSthZU
121,Business,290,$$$$,***,Md8JGKWS
122,Casual,120,$$,***,ttrx7iDh
123,Holiday,410,$$$$,***,gJxCmjMs
124,Family,440,$$,***,00ufS2Lx
125,Holiday,140,$$$$,***,GvYlu8Z4
126,Business,10,$,***,dvHPAdzI
127,Family,20,$$$,***,HTw40w9T
128,Business,30,$$$$,***,YD1NqRqv
129,Business,490,$,***,I0LtCChJ
130,Casual,320,$$,***,GyPi1kIq
131,Casual,150,$,***,HX0TCTq7
132,Business,370,$$$,***,J0XNYGMK
133,Casual,190,$$$,***,Xmdwfaj3
134,Family,40,$,***,aVHUBhPr
135,Casual,440,$,***,vH9sxfOF
136,Holiday,470,$$$,***,bFdBz8ut
137,Family,500,$$,***,olZ5hiZY
138,Casual,150,$,***,haM1k7eT
139,Business,170,$,***,tWivx0Wr
140,Holiday,50,$$$$,***,GlfpdXwf
141,Family,210,$$,***,D3WAoOLr
142,Holiday,110,$$$,***,3UcOCV9o
143,Holiday,330,$$,***,oOYYPFkN
144,Family,250,$,***,bYBYheBy
145,Business,220,$$$$,***,cFcYTusK
146,Casual,320,$$$$,***,40GS8jpX
147,Holiday,340,$$,***,Myuclu80
148,Business,380,$,***,zkfqwTHd
149,Family,370,$$$$,***,sT6xtebL
150,Casual,270,$$$$,***,kf0r8mul
151,Family,300,$$,***,zZskJn54
152,Business,410,$$$$,***,YhonUfLo
153,Family,220,$$,***,tWivx0Wr
154,Business,130,$$$,***,JwuuccnJ
155,Family,150,$,***,GvYlu8Z4
156,Business,60,$$,***,SeBPhunC
157,Casual,350,$$,***,9094FKPx
158,Business,240,$,***,qy3R33vj
159,Family,230,$$$,***,t6dL7ws0
160,Holiday,60,$$,***,KumDTmZD
161,Business,350,$$$$,***,wPDffG4C
162,Business,110,$$,***,gKfXpuFS
163,Business,20,$$$$,***,Ym3vu9gN
164,Holiday,350,$$$$,***,UzPbKX1G
165,Casual,50,$,***,sjbsyFPn
166,Holiday,240,$$$,***,NvwZyJch
167,Family,30,$,***,1XtXqtSj
168,Holiday,280,$$,***,28feiCyN
169,Family,390,$$$$,***,8EsBrbqu
170,Casual,10,$,***,a6fSp69j
171,Casual,420,$,***,4pR0vwa6
172,Business,440,$$,***,2LegpZGz
173,Business,150,$$,***,Vgd4dQAp
174,Casual,380,$$$,***,TzcFozga
175,Casual,250,$,***,2OmqWXaf
176,Family,350,$,***,ntO3tP1w
177,Holiday,20,$,***,3UcOCV9o
178,Family,320,$$$$,***,ofINYADl
179,Holiday,250,$$$,***,Povgi4hf
180,Holiday,380,$,***,aanN3jEa
181,Casual,440,$,***,9fFxMqQR
182,Business,110,$$$$,***,aanN3jEa
183,Holiday,100,$$$,***,EZdU1BcV
184,Family,400,$$,***,esrn8low
185,Casual,420,$$,***,qzU6G7NX
186,Business,100,$$$,***,YBmVi0wa
187,Holiday,140,$$$,***,J0XNYGMK
188,Holiday,290,$$,***,EorkMzgO
189,Family,470,$,***,biEUVTdh
190,Holiday,200,$$$$,***,qA3HmuoQ
191,Family,370,$$$,***,GvYlu8Z4
192,Casual,250,$$$,***,y7MenMlT
193,Family,330,$$$,***,Tn0LGYpO
194,Casual,260,$$,***,gKfXpuFS
195,Family,280,$$$$,***,Xf95DPyf
196,Holiday,390,$$$,***,D45BSuwJ
197,Family,260,$$$$,***,09ZC79al
198,Casual,160,$$$$,***,BidXiVR1
199,Holiday,270,$$$,***,XWTXmHgg
200,Holiday,490,$$,***,OEYiA664
201,Family,170,$$$,***,40GS8jpX
202,Holiday,10,$,***,gTpdPH94
203,Family,390,$$$$,***,AOaVEAle
204,Holiday,480,$,***,d5CXBNhR
205,Business,240,$$$$,***,gt65yUBg
206,Family,210,$$,***,ttuUa7oZ
207,Holiday,410,$$$$,***,Q2rC6wwk
208,Holiday,370,$$$,***,mT8l5dY6
209,Family,80,$$$,***,I2rtjd0p
210,Business,160,$,***,2Kq9y3YB
211,Holiday,90,$$$$,***,jLdkb1kU
212,Holiday,40,$$$,***,qXbwElXe
213,Holiday,490,$$,***,lzuJqY0L
214,Casual,10,$$,***,2880aQgG
215,Family,380,$$$$,***,TzcFozga
216,Holiday,10,$$$,***,aVHUBhPr
217,Family,170,$$$$,***,3741NvWG
218,Holiday,40,$,***,F1fcovn8
219,Family,150,$$$,***,Qq8HmDaW
220,Business,390,$,***,OlJphXW8
221,Holiday,460,$,***,O5tE2l9j
222,Business,160,$$$,***,ugZP3ycC
223,Casual,190,$,***,gJxCmjMs
224,Holiday,300,$$$,***,9Ei2EKTW
225,Holiday,30,$$$$,***,RuuNloQR
226,Family,100,$,***,tCP7JqYp
227,Family,120,$$,***,L9hSnQqK
228,Business,220,$,***,OlJphXW8
229,Family,340,$$$,***,s76SJ4SF
230,Family,410,$$$,***,IlbJsCn2
231,Casual,130,$$$,***,xLdq3Kbr
232,Family,400,$$,***,pbIPgWfc
233,Family,60,$,***,SL5GvOMm
234,Business,470,$$$,***,gKfXpuFS
235,Holiday,350,$$$,***,uJKIceL8
236,Casual,460,$$$$,***,geOWrX02
237,Holiday,20,$$$$,***,TzcFozga
238,Holiday,130,$$$$,***,DdLFHT8Y
239,Casual,120,$$,***,NvwZyJch
240,Holiday,430,$$$$,***,ZcAC94I7
241,Family,350,$,***,G3AzhXbd
242,Holiday,380,$$,***,kUVyxaW4
243,Family,270,$,***,j33WOEcW
244,Business,280,$$,***,Kbek4fj0
245,Business,490,$$$$,***,Bjn15L3v
246,Casual,300,$$,***,DvqOzAgu
247,Family,470,$$,***,pLi5uIUQ
248,Holiday,300,$,***,ulIgNcer
249,Casual,70,$$,***,HjJsF71K
250,Family,70,$,***,zMzvHVK6
251,Family,360,$$,***,O5tE2l9j
252,Business,270,$$$,***,bYBYheBy
253,Family,10,$$,***,HylUYL74
254,Family,350,$$,***,7jYhKoQD
255,Casual,330,$$$$,***,Ico2o9Ag
256,Business,370,$$$,***,JBZisQUk
