MovieID,movie_title,director_name,genres,content_rating
1,Avatar,James Cameron,Action|Adventure|Fantasy|Sci-Fi,PG-13
2,Pirates of the Caribbean: At World's End,Gore Verbinski,Action|Adventure|Fantasy,PG-13
3,Spectre,Sam Mendes,Action|Adventure|Thriller,PG-13
4,The Dark Knight Rises,Christopher Nolan,Action|Thriller,PG-13
5,John Carter,Andrew Stanton,Action|Adventure|Sci-Fi,PG-13
6,Spider-Man 3,Sam Raimi,Action|Adventure|Romance,PG-13
7,Tangled,Nathan Greno,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,PG
8,Avengers: Age of Ultron,Joss Whedon,Action|Adventure|Sci-Fi,PG-13
9,Harry Potter and the Half-Blood Prince,David Yates,Adventure|Family|Fantasy|Mystery,PG
10,Batman v Superman: Dawn of Justice,Zack Snyder,Action|Adventure|Sci-Fi,PG-13
11,Superman Returns,Bryan Singer,Action|Adventure|Sci-Fi,PG-13
12,Quantum of Solace,Marc Forster,Action|Adventure,PG-13
13,Pirates of the Caribbean: Dead Man's Chest,Gore Verbinski,Action|Adventure|Fantasy,PG-13
14,The Lone Ranger,Gore Verbinski,Action|Adventure|Western,PG-13
15,Man of Steel,Zack Snyder,Action|Adventure|Fantasy|Sci-Fi,PG-13
16,The Chronicles of Narnia: Prince Caspian,Andrew Adamson,Action|Adventure|Family|Fantasy,PG
17,The Avengers,Joss Whedon,Action|Adventure|Sci-Fi,PG-13
18,Pirates of the Caribbean: On Stranger Tides,Rob Marshall,Action|Adventure|Fantasy,PG-13
19,Men in Black 3,Barry Sonnenfeld,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,PG-13
20,The Hobbit: The Battle of the Five Armies,Peter Jackson,Adventure|Fantasy,PG-13
21,The Amazing Spider-Man,Marc Webb,Action|Adventure|Fantasy,PG-13
22,Robin Hood,Ridley Scott,Action|Adventure|Drama|History,PG-13
23,The Hobbit: The Desolation of Smaug,Peter Jackson,Adventure|Fantasy,PG-13
24,The Golden Compass,Chris Weitz,Adventure|Family|Fantasy,PG-13
25,King Kong,Peter Jackson,Action|Adventure|Drama|Romance,PG-13
26,Titanic,James Cameron,Drama|Romance,PG-13
27,Captain America: Civil War,Anthony Russo,Action|Adventure|Sci-Fi,PG-13
28,Battleship,Peter Berg,Action|Adventure|Sci-Fi|Thriller,PG-13
29,Jurassic World,Colin Trevorrow,Action|Adventure|Sci-Fi|Thriller,PG-13
30,Skyfall,Sam Mendes,Action|Adventure|Thriller,PG-13
31,Spider-Man 2,Sam Raimi,Action|Adventure|Fantasy|Romance,PG-13
32,Iron Man 3,Shane Black,Action|Adventure|Sci-Fi,PG-13
33,Alice in Wonderland,Tim Burton,Adventure|Family|Fantasy,PG
34,X-Men: The Last Stand,Brett Ratner,Action|Adventure|Fantasy|Sci-Fi|Thriller,PG-13
35,Monsters University,Dan Scanlon,Adventure|Animation|Comedy|Family|Fantasy,G
36,Transformers: Revenge of the Fallen,Michael Bay,Action|Adventure|Sci-Fi,PG-13
37,Transformers: Age of Extinction,Michael Bay,Action|Adventure|Sci-Fi,PG-13
38,Oz the Great and Powerful,Sam Raimi,Adventure|Family|Fantasy,PG
39,The Amazing Spider-Man 2,Marc Webb,Action|Adventure|Fantasy|Sci-Fi,PG-13
40,TRON: Legacy,Joseph Kosinski,Action|Adventure|Sci-Fi,PG
41,Cars 2,John Lasseter,Adventure|Animation|Comedy|Family|Sport,G
42,Green Lantern,Martin Campbell,Action|Adventure|Sci-Fi,PG-13
43,Toy Story 3,Lee Unkrich,Adventure|Animation|Comedy|Family|Fantasy,G
44,Terminator Salvation,McG,Action|Adventure|Sci-Fi,PG-13
45,Furious 7,James Wan,Action|Crime|Thriller,PG-13
46,World War Z,Marc Forster,Action|Adventure|Horror|Sci-Fi|Thriller,PG-13
47,X-Men: Days of Future Past,Bryan Singer,Action|Adventure|Fantasy|Sci-Fi|Thriller,PG-13
48,Star Trek Into Darkness,J.J. Abrams,Action|Adventure|Sci-Fi,PG-13
49,Jack the Giant Slayer,Bryan Singer,Adventure|Fantasy,PG-13
50,The Great Gatsby,Baz Luhrmann,Drama|Romance,PG-13
51,Prince of Persia: The Sands of Time,Mike Newell,Action|Adventure|Fantasy|Romance,PG-13
52,Pacific Rim,Guillermo del Toro,Action|Adventure|Sci-Fi,PG-13
53,Transformers: Dark of the Moon,Michael Bay,Action|Adventure|Sci-Fi,PG-13
54,Indiana Jones and the Kingdom of the Crystal Skull,Steven Spielberg,Action|Adventure|Fantasy,PG-13
55,The Good Dinosaur,Peter Sohn,Adventure|Animation|Comedy|Family|Fantasy,PG
56,Brave,Mark Andrews,Adventure|Animation|Comedy|Family|Fantasy,PG
57,Star Trek Beyond,Justin Lin,Action|Adventure|Sci-Fi|Thriller,PG-13
58,WALL·E,Andrew Stanton,Adventure|Animation|Family|Sci-Fi,G
59,Rush Hour 3,Brett Ratner,Action|Comedy|Crime|Thriller,PG-13
60,2012,Roland Emmerich,Action|Adventure|Sci-Fi,PG-13
61,A Christmas Carol,Robert Zemeckis,Animation|Drama|Family|Fantasy,PG
62,Jupiter Ascending,Lana Wachowski,Action|Adventure|Sci-Fi,PG-13
63,The Legend of Tarzan,David Yates,Action|Adventure|Drama|Romance,PG-13
64,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Andrew Adamson,Adventure|Family|Fantasy,PG
65,X-Men: Apocalypse,Bryan Singer,Action|Adventure|Sci-Fi,PG-13
66,The Dark Knight,Christopher Nolan,Action|Crime|Drama|Thriller,PG-13
67,Up,Pete Docter,Adventure|Animation|Comedy|Family,PG
68,Monsters vs. Aliens,Rob Letterman,Action|Adventure|Animation|Comedy|Family|Sci-Fi,PG
69,Iron Man,Jon Favreau,Action|Adventure|Sci-Fi,PG-13
70,Hugo,Martin Scorsese,Adventure|Drama|Family|Mystery,PG
71,Wild Wild West,Barry Sonnenfeld,Action|Comedy|Sci-Fi|Western,PG-13
72,The Mummy: Tomb of the Dragon Emperor,Rob Cohen,Action|Adventure|Fantasy|Horror|Thriller,PG-13
73,Suicide Squad,David Ayer,Action|Adventure|Comedy|Sci-Fi,PG-13
74,Evan Almighty,Tom Shadyac,Comedy|Family|Fantasy,PG
75,Edge of Tomorrow,Doug Liman,Action|Adventure|Sci-Fi,PG-13
76,Waterworld,Kevin Reynolds,Action|Adventure|Sci-Fi|Thriller,PG-13
77,G.I. Joe: The Rise of Cobra,Stephen Sommers,Action|Adventure|Sci-Fi|Thriller,PG-13
78,Inside Out,Pete Docter,Adventure|Animation|Comedy|Drama|Family|Fantasy,PG
79,The Jungle Book,Jon Favreau,Adventure|Drama|Family|Fantasy,PG
80,Iron Man 2,Jon Favreau,Action|Adventure|Sci-Fi,PG-13
81,Snow White and the Huntsman,Rupert Sanders,Action|Adventure|Drama|Fantasy,PG-13
82,Maleficent,Robert Stromberg,Action|Adventure|Family|Fantasy|Romance,PG
83,Dawn of the Planet of the Apes,Matt Reeves,Action|Adventure|Drama|Sci-Fi,PG-13
84,The Lovers,Roland Joffé,Action|Adventure|Romance|Sci-Fi,R
85,47 Ronin,Carl Rinsch,Action|Adventure|Drama|Fantasy,PG-13
86,Captain America: The Winter Soldier,Anthony Russo,Action|Adventure|Sci-Fi,PG-13
87,Shrek Forever After,Mike Mitchell,Adventure|Animation|Comedy|Family|Fantasy,PG
88,Tomorrowland,Brad Bird,Action|Adventure|Family|Mystery|Sci-Fi,PG
89,Big Hero 6,Don Hall,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,PG
90,Wreck-It Ralph,Rich Moore,Adventure|Animation|Comedy|Family|Sci-Fi,PG
91,The Polar Express,Robert Zemeckis,Adventure|Animation|Family|Fantasy,G
92,Independence Day: Resurgence,Roland Emmerich,Action|Adventure|Sci-Fi,PG-13
93,How to Train Your Dragon,Dean DeBlois,Adventure|Animation|Family|Fantasy,PG
94,Terminator 3: Rise of the Machines,Jonathan Mostow,Action|Sci-Fi,R
95,Guardians of the Galaxy,James Gunn,Action|Adventure|Sci-Fi,PG-13
96,Interstellar,Christopher Nolan,Adventure|Drama|Sci-Fi,PG-13
97,Inception,Christopher Nolan,Action|Adventure|Sci-Fi|Thriller,PG-13
98,Godzilla Resurgence,Hideaki Anno,Action|Adventure|Drama|Horror|Sci-Fi,NULL
99,The Hobbit: An Unexpected Journey,Peter Jackson,Adventure|Fantasy,PG-13
100,The Fast and the Furious,Rob Cohen,Action|Crime|Thriller,PG-13
101,The Curious Case of Benjamin Button,David Fincher,Drama|Fantasy|Romance,PG-13
102,X-Men: First Class,Matthew Vaughn,Action|Adventure|Sci-Fi,PG-13
103,The Hunger Games: Mockingjay - Part 2,Francis Lawrence,Adventure|Sci-Fi,PG-13
104,The Sorcerer's Apprentice,Jon Turteltaub,Action|Adventure|Family|Fantasy,PG
105,Poseidon,Wolfgang Petersen,Action|Adventure|Drama|Thriller,PG-13
106,Alice Through the Looking Glass,James Bobin,Adventure|Family|Fantasy,PG
107,Shrek the Third,Chris Miller,Adventure|Animation|Comedy|Family|Fantasy,PG
108,Warcraft,Duncan Jones,Action|Adventure|Fantasy,PG-13
109,Terminator Genisys,Alan Taylor,Action|Adventure|Sci-Fi,PG-13
110,The Chronicles of Narnia: The Voyage of the Dawn Treader,Michael Apted,Adventure|Family|Fantasy,PG
111,Pearl Harbor,Michael Bay,Action|Drama|History|Romance|War,PG-13
112,Transformers,Michael Bay,Action|Adventure|Sci-Fi,PG-13
113,Alexander,Oliver Stone,Action|Adventure|Biography|Drama|History|Romance|War,R
114,Harry Potter and the Order of the Phoenix,David Yates,Adventure|Family|Fantasy|Mystery,PG-13
115,Harry Potter and the Goblet of Fire,Mike Newell,Adventure|Family|Fantasy|Mystery,PG-13
116,Hancock,Peter Berg,Action|Drama,PG-13
117,I Am Legend,Francis Lawrence,Drama|Horror|Sci-Fi,PG-13
118,Charlie and the Chocolate Factory,Tim Burton,Adventure|Comedy|Family|Fantasy,PG
119,Ratatouille,Brad Bird,Animation|Comedy|Family|Fantasy,G
120,Batman Begins,Christopher Nolan,Action|Adventure,PG-13
121,Madagascar: Escape 2 Africa,Eric Darnell,Action|Adventure|Animation|Comedy|Family,PG
122,Night at the Museum: Battle of the Smithsonian,Shawn Levy,Adventure|Comedy|Family|Fantasy,PG
