MusicID,Track Name,Artist,Genres
1,Bad and Boujee (feat. Lil Uzi Vert),Migos,Pop
2,Fake Love,Drake,Blues
3,Starboy,The Weeknd,Country
4,Closer,The Chainsmokers,Pop
5,Black Beatles,Rae Sremmurd,Blues
6,Broccoli (feat. Lil Yachty),DRAM,Rock
7,One Dance,Drake,Country
8,Caroline,Aminé,Reggae
9,Let Me Love You,DJ Snake,Classical
10,Bounce Back,Big Sean,EDM
11,I Feel It Coming,The Weeknd,Blues
12,24K Magic,Bruno Mars,Country
13,Bad Things (with Camila Cabello),Machine Gun Kelly,Pop
14,X (feat. Future),21 Savage,EDM
15,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,Country
16,Don't Wanna Know,Maroon 5,Blues
17,Chill Bill,Rob $tone,Rock
18,Deja Vu,J. Cole,Pop
19,OOOUUU,Young M.A,Blues
20,Party Monster,The Weeknd,Hip hop
21,No Problem (feat. Lil Wayne & 2 Chainz),Chance The Rapper,Reggae
22,No Heart,21 Savage,Hip hop
23,Starving,Hailee Steinfeld,Country
24,Don't Let Me Down,The Chainsmokers,Rock
25,Side To Side,Ariana Grande,Pop
26,Treat You Better,Shawn Mendes,Classical
27,In the Name of Love,Martin Garrix,Blues
28,Sneakin’,Drake,EDM
29,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,Hip hop
30,Work from Home,Fifth Harmony,EDM
31,Heathens,Twenty One Pilots,Country
32,You Was Right,Lil Uzi Vert,Reggae
33,Into You,Ariana Grande,Country
34,Too Good,Drake,Rock
35,Controlla,Drake,Country
36,This Is What You Came For,Calvin Harris,Blues
37,Say You Won't Let Go,James Arthur,Hip hop
38,All We Know,The Chainsmokers,Blues
39,pick up the phone,Young Thug,Rock
40,iSpy (feat. Lil Yachty),KYLE,Rock
41,Cheap Thrills,Sia,Classical
42,Needed Me,Rihanna,Hip hop
43,Cold Water (feat. Justin Bieber & MØ),Major Lazer,Classical
44,Panda,Desiigner,Rock
45,Scars To Your Beautiful,Alessia Cara,Country
46,Mercy,Shawn Mendes,Blues
47,Neighbors,J. Cole,Pop
48,Work,Rihanna,Hip hop
49,Call On Me - Ryan Riback Extended Remix,Starley,Hip hop
50,Swang,Rae Sremmurd,Country
51,Six Feet Under,The Weeknd,Blues
52,"How Far I'll Go - From ""Moana""",Alessia Cara,Classical
53,Send My Love (To Your New Lover),Adele,Classical
54,Love Me Now,John Legend,Pop
55,Love Yourself,Justin Bieber,Classical
56,Juju On That Beat (TZ Anthem),Zay Hilfigerrr,Hip hop
57,Jumpman,Drake,Country
58,Sidewalks,The Weeknd,Classical
59,I Want You Back,The Jackson 5,Country
60,Cake By The Ocean,DNCE,Country
61,Low Life,Future,Blues
62,goosebumps,Travis Scott,EDM
63,Redbone,Childish Gambino,EDM
64,Just Hold On,Steve Aoki,Hip hop
65,Billie Jean,Michael Jackson,Classical
66,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,Reggae
67,Immortal,J. Cole,Blues
68,Ride,Twenty One Pilots,Hip hop
69,Ain't No Mountain High Enough,Marvin Gaye,Pop
70,Money Longer,Lil Uzi Vert,Country
71,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,Blues
72,No Role Modelz,J. Cole,Blues
73,Used to This,Future,Pop
74,Chantaje,Shakira,Pop
75,Pumped Up Kicks,Foster The People,Country
76,Some Kind Of Drug,G-Eazy,Classical
77,Too Much Sauce,DJ Esco,EDM
78,Now and Later,Sage The Gemini,Hip hop
79,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,Blues
80,"Happy - From ""Despicable Me 2""",Pharrell Williams,EDM
81,Reminder,The Weeknd,Hip hop
82,All Time Low,Jon Bellion,EDM
83,One Night,Lil Yachty,Blues
84,Paper Planes,M.I.A.,Reggae
85,Stressed Out,Twenty One Pilots,Country
86,Titanium (feat. Sia),David Guetta,Reggae
87,Bohemian Rhapsody - Remastered 2011,Queen,Reggae
88,White Iverson,Post Malone,Rock
89,All Night,The Vamps,Rock
90,Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,Blues
91,"Me, Myself & I",G-Eazy,Reggae
92,"i hate u, i love u (feat. olivia o'brien)",gnash,Hip hop
93,Too Many Years,Kodak Black,Classical
94,Love On The Brain,Rihanna,Rock
95,Change,J. Cole,Pop
96,Don't,Bryson Tiller,Country
97,Water,Ugly God,Pop
98,Rich Girl,Daryl Hall & John Oates,Hip hop
99,Erase Your Social,Lil Uzi Vert,Country
100,Never Be Like You,Flume,Blues
101,The Mack,Nevada,Hip hop
102,Gold,Kiiara,Pop
103,Exchange,Bryson Tiller,Country
104,Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,EDM
105,You Make My Dreams - Remastered,Daryl Hall & John Oates,Country
106,Die For You,The Weeknd,Blues
107,Selfish,PnB Rock,Pop
108,Weak,AJR,Pop
109,Come and See Me (feat. Drake),PARTYNEXTDOOR,Country
110,Twist And Shout - Remastered 2009,The Beatles,Pop
111,Make Me (Cry),Noah Cyrus,Classical
112,No Flockin,Kodak Black,Country
113,Father Stretch My Hands Pt. 1,Kanye West,Hip hop
114,We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,fun.,EDM
115,Respect,Aretha Franklin,Blues
116,Litty (feat. Tory Lanez),Meek Mill,Blues
117,Congratulations,Post Malone,Country
118,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,Hip hop
119,Superstition - Single Version,Stevie Wonder,EDM
120,Sorry,Justin Bieber,Country
121,Uber Everywhere,MadeinTYO,Country
122,Pop Style,Drake,Pop
123,Sunset Lover,Petit Biscuit,Rock
124,"Signed, Sealed, Delivered (I'm Yours)",Stevie Wonder,Hip hop
125,You Can Call Me Al,Paul Simon,Rock
126,Moves,Big Sean,Rock
127,That's What I Like,Bruno Mars,Blues
128,The Hills,The Weeknd,Blues
129,Hotline Bling,Drake,Country
130,All Time Low,Jon Bellion,Rock
131,Roses,The Chainsmokers,Hip hop
132,Deja Vu,Post Malone,Pop
133,Setting Fires,The Chainsmokers,Hip hop
134,Don't Stop Me Now - Remastered,Queen,Reggae
135,You Shook Me All Night Long,AC/DC,Rock
136,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",Bee Gees,Reggae
137,Light,San Holo,Pop
138,P.Y.T. (Pretty Young Thing),Michael Jackson,Country
139,Famous,Kanye West,Hip hop
140,Brown Eyed Girl,Van Morrison,EDM
141,Call Me Maybe,Carly Rae Jepsen,Classical
142,Water Under the Bridge,Adele,EDM
143,Tiimmy Turner,Desiigner,Blues
144,My House,Flo Rida,Classical
145,Say It (feat. Tove Lo),Flume,Rock
146,Purple Lamborghini (with Rick Ross),Skrillex,Rock
147,Secrets,The Weeknd,Reggae
148,7 Years,Lukas Graham,Country
149,My Girl,The Temptations,Country
150,Feel So Close - Radio Edit,Calvin Harris,Pop
151,Antidote,Travis Scott,Pop
152,True Colors,The Weeknd,Country
153,Gassed Up,Nebu Kiniza,Blues
154,Capsize,FRENSHIP,Hip hop
