RestaurantID,Name,Phone,Address,City,State
1,Fruitti Frozen Yogurt,(508) 202-9704,"535 Lincoln St, Worcester, MA 01605",Worcester,MA
2,Slice Place,617-542-0166,"115 Water St, Boston, MA 02109-4823",Boston,MA
3,Hien Vuong Restaurant,(617) 282-9791,"1487 Dorchester Ave, Boston, MA 02122",Boston,MA
4,Ronzio Pizza,401-941-7750,"422 Warwick Ave, Warwick, RI 02888-1338",Warwick,RI
5,Ben & Jerry's,(781) 963-5399,"73 Mazzeo Dr, Randolph, MA 02368",Randolph,MA
6,Subway,978-342-4391,"1313 Water St, Fitchburg, MA 01420",Fitchburg,MA
7,Finagle-A-Bagel,(617) 426-3300,"129 Tremont St, Boston, MA 02135",Boston,MA
8,Village Pizza House,617-731-4210,"312 Washington St, Brookline, MA 02445-6850",Brookline,MA
9,Rebecca's Cafe,857-383-3464,"1 Financial Ctr, Boston, MA 02110",Boston,MA
10,La Frontera,(617) 569-8600,"290 Bennington St, Boston, MA 02128",Boston,MA
11,Southeast Asian Restaurant,978-452-3182,"343 Market St, Lowell, MA 01852-3840",Lowell,MA
12,Palma's Bakery,(508) 798-9942,"3B Rice Square, Worcester, MA 01604",Worcester,MA
13,Maxwell-Silverman's Toolhouse,508-755-1200,"25 Union St., Worcester, MA 01608",Worcester,MA
14,Dunkin' Donuts,978-774-2840,"36 Maple St, Salem, MA 01970",Salem,MA
15,Orange Julius,(508) 832-9312,"385 Southbridge St Ste 1724, Auburn, MA 01501-2415",Auburn,MA
16,Babushka Deli Incorporated,617-731-9739,"62 Washington St, Boston, MA 02135-7429",Boston,MA
17,South Street Pizza,617-323-9994,"902 South St, Boston, MA 02131",Boston,MA
18,Patriots Roast Beef & Grill,978-632-9951,"146 Patriots Rd, Templeton, MA 01468",Templeton,MA
19,Ocean City Chinese Restaurant,781-986-7200,"61 Diauto Dr, Randolph, MA 02368-4501",Randolph,MA
20,Cafe Luigi,781-271-0666,"152 Great Rd, Ste 2, Bedford, MA 01730-2732",Bedford,MA
21,Greenside Grille,,"274 South Street, Hingham, MA",Hingham,MA
22,Moksa Restaurant,617-661-4900,"450 Massachusetts Avenue, Cambridge, MA",Cambridge,MA
23,Amazing Geisha Wings,617-787-2400,"1247 Commonwealth Ave, Boston, MA 02134",Boston,MA
24,Papa Gino's,508-695-0214,"15 Taunton St, Plainville, MA 02762-2139",Plainville,MA
25,Max Brenner - Boston,(617) 274-1741,"745 Boylston Street, Boston, MA 02116",Boston,MA
26,Dunkin Donuts,(617) 737-1860,"1 Harbor St, Boston, MA 02210",Boston,MA
27,Boston Sail Loft Restaurant,617-227-7280,"80 Atlantic Ave, Boston, MA 02110-3614",Boston,MA
28,Trident Booksellers & Cafe,617-267-8688,"338 Newbury St, Boston, MA 02115-2700",Boston,MA
29,Letterie's Italian Market,(617) 846-0351,"67 Woodside Ave, Winthrop, MA 02152",Winthrop,MA
30,Brisas del Caribe,978-741-2446,"101 Lafayette Street, Salem, MA 01970",Salem,MA
31,Pepperidge Farm Incorporated,(508) 336-5020,"1397 Fall River Ave, Seekonk, MA 02771",Seekonk,MA
32,Chipotle Mexican Grill,(857) 500-4066,"598 Massachusetts Ave, Cambridge, MA 02139",Cambridge,MA
33,Rockafellas,978 745 2411,"231 Essex St, Salem, MA 01970",Salem,MA
34,Bohemios,617-561-7777,"30 Bennington St, Boston, MA 02128-1704",Boston,MA
35,Wrapme,617-338-8588,"66 Kneeland St, Boston, MA 02111-1913",Boston,MA
36,South Boston Chinese Restaurant,617-269-1970,"429 W Broadway, Boston, MA 02127-2218",Boston,MA
37,Tiki Palace,(781) 380-3808,"1177 Washington St, Braintree, MA 02184",Braintree,MA
38,Piccadilly Pub Restaurant,781-986-9981,"1064 N Main St, Randolph, MA 02368-2134",Randolph,MA
39,Salsa's,(781) 749-9094,"211 Lincoln St, Hingham, MA 02043",Hingham,MA
40,Commonwealth BBQ,(508) 384-9676,"659 South Street, Wrentham, MA 02093",Wrentham,MA
41,"Lucky Corner Restaurant
- CLOSED",978-373-9905,"1155 Main St, Haverhill, MA 01830-1434",Haverhill,MA
42,Ghalal Restaurant,,"100 Centre St., Jamaica Plain, Boston, MA",Boston,MA
43,Great Wok Restaurants,(617) 288-1078,"1284 Massachusetts Ave, Boston, MA 02125",Boston,MA
44,Harry's Bar & Grille,508-947-9297,"407 W Grove St, Middleboro, MA 02346-1419",Middleboro,MA
45,Subway of Hatfield,(413) 265-5120,"10 West Street, West Hatfield, MA 01088",West Hatfield,MA
46,Hawaii Garden,(781) 293-5778,"300 Plymouth St, Halifax, MA 02338-1344",Halifax,MA
47,"University House of Pizza
- CLOSED",617-442-9280,"452 Huntington Ave, Boston, MA 02115-5601",Boston,MA
48,Harvester Seafood,508-759-7295,"25 Perry Ave, Buzzards Bay, MA 02532-3440",Buzzards Bay,MA
49,Genki Ya,617-277-3100,"398 Harvard St, Brookline, MA 02446-2932",Brookline,MA
50,Frotopia - Yogurt Your Way,978-532-0000,"229 Andover Street - Rt. 114, Peabody, MA 01960",Peabody,MA
51,"Upstairs Grill
- CLOSED",617-421-4960,"47 Huntington Ave, Boston, MA 02116-5732",Boston,MA
52,Corner Pizza & Grill,508-234-0001,"125 Church Ave, Northbridge, MA 01588",Northbridge,MA
53,McDonald's,978-948-3324,"Newburyport Tpke, Rowley, MA 01969",Rowley,MA
54,Vintage Grille,508-752-0558,"346 Shrewsbury St, Worcester, MA 01604",Worcester,MA
55,Boston Kabob Company,617-254-2333,"164 Brighton Ave., Boston, MA 02134",Boston,MA
56,Momogoose Foodtruck,617-615-6264,"Momogoose. Com/Location, Boston, MA",Boston,MA
57,Harry's Bar and Grille,,"Commonwealth Ave and Kelton St, Boston, MA",Boston,MA
58,Village Sushi & Grill,617-363-7874,"14 Corinth St, Boston, MA 02131-3021",Boston,MA
59,Green Bean Mobile Cafe,8572059285.00,"61 Central Ave, Boston, MA 02128",Boston,MA
60,Honey Dew Donuts,508-528-8083,"213 E Central St, Franklin, MA 02038-1315",Franklin,MA
61,Mipais Restaurant,(413) 301-6781,"344 Bay St, Springfield, MA 01109",Springfield,MA
62,Linden Pizza,508-997-2080,"58 Linden St, New Bedford, MA 02740-6905",New Bedford,MA
63,Meridian 155,617-569-9155,"155 - 157 Meridian Street, Boston, MA 02128",Boston,MA
